List of Rectangle Side Lengths, Number of Blockers, and Ratios R(m,n;r):

Side Lengths: 4 x 2
Number of Blockers | Ratio
82 | 1.0363885119082468
83 | 1.0
84 | 1.0360330112869365
85 | 1.0
86 | 1.035708215520249
87 | 1.0
88 | 1.0354126560429766
89 | 1.0
90 | 1.0351450297413154
91 | 1.0
92 | 1.0349041837005475
93 | 1.0
94 | 1.0346891021261495
95 | 1.0
96 | 1.0344988951483312
97 | 1.0
98 | 1.0343327892702394
99 | 1.0
100 | 1.0341901192617358
101 | 1.0
102 | 1.0340703213355273
103 | 1.0
104 | 1.0339729274718714
105 | 1.0
106 | 1.0338975607831997
107 | 1.0
108 | 1.0338439318317356
109 | 1.0
110 | 1.033811835832241
111 | 1.0
112 | 1.0338011506890712


Side Lengths: 18 x 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.631578947368421
3 | 1.0
4 | 1.4548211036992116
5 | 1.0
6 | 1.3434161949298549
7 | 1.0
8 | 1.2825991294212793
9 | 1.0
10 | 1.2464580979004343
11 | 1.0
12 | 1.2241016863437642
13 | 1.0
14 | 1.210441780138385
15 | 1.0
16 | 1.2030150931851293
17 | 1.0
18 | 1.200652547055633


Side Lengths: 18 x 4
Number of Blockers | Ratio
1 | 1.0
2 | 1.6891891891891893
3 | 1.0
4 | 1.4399930143206428
5 | 1.0
6 | 1.3166562660741374
7 | 1.0
8 | 1.2501733222105784
9 | 1.0
10 | 1.2091786222363452
11 | 1.0
12 | 1.1816030178797687
13 | 1.0
14 | 1.1619535649708375
15 | 1.0
16 | 1.1473895140484198
17 | 1.0
18 | 1.1362982611103474
19 | 1.0
20 | 1.1276993574589305
21 | 1.0
22 | 1.1209651263937166
23 | 1.0
24 | 1.1156779219458135
25 | 1.0
26 | 1.111552094033047
27 | 1.0
28 | 1.1083890206332734
29 | 1.0
30 | 1.1060501390628952
31 | 1.0
32 | 1.104440345590102
33 | 1.0
34 | 1.1034977067536151
35 | 1.0
36 | 1.1031872622221242


Side Lengths: 18 x 6
Number of Blockers | Ratio
1 | 1.0
2 | 1.709090909090909
3 | 1.0
4 | 1.4342844485612452
5 | 1.0
6 | 1.3083882170239303
7 | 1.0
8 | 1.2409046204747864
9 | 1.0
10 | 1.1991245741550915
11 | 1.0
12 | 1.17080285323334
13 | 1.0
14 | 1.1503998559410749
15 | 1.0
16 | 1.1350513774483408
17 | 1.0
18 | 1.123128706868789
19 | 1.0
20 | 1.1136378344605742
21 | 1.0
22 | 1.1059380917009844
23 | 1.0
24 | 1.0995982749264517
25 | 1.0
26 | 1.094317798706152
27 | 1.0
28 | 1.0898810008400008
29 | 1.0
30 | 1.0861294096566199
31 | 1.0
32 | 1.0829442493407602
33 | 1.0
34 | 1.080235036183326
35 | 1.0
36 | 1.0779319345381624
37 | 1.0
38 | 1.0759805094281762
39 | 1.0
40 | 1.0743380512565595
41 | 1.0
42 | 1.0729709589186773
43 | 1.0
44 | 1.0718528530338927
45 | 1.0
46 | 1.0709632049711009
47 | 1.0
48 | 1.0702863393489135
49 | 1.0
50 | 1.0698107144518554
51 | 1.0
52 | 1.0695284162640353
53 | 1.0
54 | 1.069434823449601


Side Lengths: 18 x 8
Number of Blockers | Ratio
1 | 1.0
2 | 1.7191780821917808
3 | 1.0
4 | 1.4313013715846536
5 | 1.0
6 | 1.3043908955825436
7 | 1.0
8 | 1.2365237657658283
9 | 1.0
10 | 1.1944542382253451
11 | 1.0
12 | 1.1658730592291466
13 | 1.0
14 | 1.1452218359903203
15 | 1.0
16 | 1.1296273112975936
17 | 1.0
18 | 1.1174554274357669
19 | 1.0
20 | 1.1077085566778464
21 | 1.0
22 | 1.0997432928188027
23 | 1.0
24 | 1.0931261512748798
25 | 1.0
26 | 1.0875544888789168
27 | 1.0
28 | 1.082810667767934
29 | 1.0
30 | 1.078734229131059
31 | 1.0
32 | 1.0752043299674003
33 | 1.0
